16,158,61,145,64,157,19,169,0.8842861310014557
66,143,129,124,132,135,69,153,0.8256919395916228
-13,119,123,86,131,118,-5,151,0.8996395832266321
3,54,3,52,5,52,5,54,0.11270238873031403
0,50,4,50,4,55,0,55,0.10459666112943213
1,50,1,48,2,48,2,50,0.11408524605489911
1,45,1,43,2,43,2,45,0.1055995605531193
1,43,1,42,3,42,3,43,0.10434666311457043
1,40,1,39,2,39,2,40,0.10438089640367598
0,38,2,37,3,38,2,40,0.10331474468111991
1,38,1,36,4,36,4,38,0.10582650506070682
0,36,2,34,4,36,2,38,0.10423918037998432
-21,8,102,6,103,93,-20,94,0.837040409190388
