60,252,61,240,82,242,81,253,0.7122583814195314
1,181,92,180,92,188,2,190,0.9134571842654078
-2,143,98,135,101,169,1,177,0.9487263978537065
61,94,95,93,95,104,61,104,0.8571972856579346
48,91,48,80,90,81,90,93,0.8895369358940807
1,93,1,74,20,74,20,94,0.8103511997404164
102,79,102,71,133,72,133,81,0.7605796882689939
136,73,153,68,155,76,138,81,0.45494131997904996
19,75,48,61,52,69,23,83,0.6973675129897915
107,39,137,38,138,47,108,48,0.8396571084446435
17,36,43,23,48,32,22,45,0.7604724973847624
93,33,96,21,130,29,127,40,0.7958154993819005
2,26,36,17,39,27,4,35,0.8396277614961025
