346,575,346,556,362,556,362,575,0.3565511148259313
300,564,304,542,350,551,346,573,0.856290655745044
137,426,196,424,196,437,137,438,0.8284594472481822
136,389,190,388,191,423,137,424,0.88942404220763
84,362,85,347,136,349,135,364,0.8110692706313068
82,321,168,321,168,337,82,337,0.8520966657085395
170,318,224,313,226,335,172,340,0.8263555781395057
82,299,153,296,153,312,83,315,0.8913105969433335
160,295,218,292,219,310,161,313,0.9136664574416593
78,245,218,241,219,274,79,279,0.9700441702760614
143,205,143,202,146,202,146,205,0.12568401503894064
145,202,145,197,148,197,148,202,0.10700295745011638
99,203,180,166,193,197,113,233,0.46803717867231304
