123,276,178,275,179,288,123,290,0.9033449110782688
115,258,179,256,180,267,115,270,0.9586587387919896
124,251,125,238,164,238,164,252,0.9254522536234455
93,226,158,221,159,233,93,238,0.8901295117571102
159,218,188,214,190,234,161,238,0.7921709974209729
111,200,150,200,150,217,111,218,0.9023967553047492
96,184,108,183,109,199,98,200,0.7127413945811941
110,180,153,178,154,196,111,197,0.9011834577508486
69,146,128,145,129,164,70,164,0.9327270998560835
134,147,183,142,185,160,136,164,0.9468256123762399
102,87,130,86,131,97,103,99,0.8172239261062165
56,84,56,71,105,72,105,85,0.8669223031167576
111,84,112,69,161,71,160,86,0.8813595625746298
