174,235,190,235,190,250,175,251,0.2585352748546545
30,231,30,219,71,219,71,231,0.8553678429469906
265,186,265,161,278,161,278,186,0.7251241966309858
234,137,234,117,272,117,272,137,0.8938058778355675
228,101,280,99,281,114,229,116,0.8249833589205243
87,83,121,79,123,97,88,100,0.8779788139532333
124,80,168,80,168,95,124,95,0.9040795608482972
169,95,170,79,197,81,195,97,0.8812758413901013
204,77,208,56,262,66,258,88,0.871901269204475
31,62,114,52,116,75,34,85,0.8911607282315411
138,74,139,48,205,51,203,78,0.8979718854973704
10,7,143,6,143,51,11,52,0.9631516722676002
154,49,155,3,272,4,272,50,0.9548877681450864
