48,436,50,304,84,304,83,437,0.7969947660847462
2,290,44,287,52,438,11,441,0.7446165120163797
219,165,219,128,245,128,245,165,0.7599342432214412
24,138,25,129,53,131,53,140,0.7115587719527049
145,172,149,117,214,122,209,177,0.9499298591675216
47,130,47,122,66,122,66,131,0.7193246336265777
24,129,24,122,47,122,47,129,0.7077977245172419
200,115,200,111,204,111,204,115,0.15291010690670387
45,108,45,105,48,105,48,108,0.17012872727531375
25,105,41,104,41,109,25,110,0.4208831262916832
23,96,47,95,47,103,23,103,0.7069649818283466
25,78,25,71,35,71,35,78,0.4839904525510545
3,29,35,29,35,34,3,35,0.40628282949395067
46,29,59,29,59,32,46,32,0.18679459711693858
5,25,5,22,7,22,7,25,0.10723596850508137
4,21,22,21,22,25,4,25,0.16062604979072745
212,14,230,14,230,18,212,19,0.29396532347845467
4,18,4,13,29,13,29,18,0.4084676608390294
166,16,166,11,189,12,189,17,0.28388635239430837
