41,240,87,238,88,250,41,252,0.7996595180445976
90,241,132,238,133,247,90,250,0.8104670085107224
28,219,69,218,69,230,28,230,0.8315925888258612
71,217,120,215,121,226,71,228,0.8776321028599409
46,197,72,195,73,207,47,209,0.8391356228573439
74,195,131,192,132,206,75,209,0.8689386107001567
132,192,162,188,163,200,133,203,0.7952698088381304
55,171,83,170,84,184,56,185,0.868929437518652
28,186,28,170,55,170,55,186,0.8284157223336305
84,173,141,168,141,179,85,184,0.7320045467375678
35,112,170,103,173,144,38,153,0.9613889268149804
60,77,117,69,119,79,62,87,0.8917566395455895
121,81,123,67,153,71,151,86,0.7883236851562441
