160,327,161,318,173,319,172,328,0.4921004044130052
135,323,135,319,146,320,146,324,0.14924743745617475
114,322,115,316,137,318,136,325,0.23760792708012046
59,322,60,304,81,305,80,323,0.9226894301943259
126,311,128,296,155,300,153,314,0.6764929987831757
47,299,49,285,108,290,106,304,0.9301904022341513
16,299,18,282,46,284,44,301,0.8432750235110583
127,286,127,275,171,277,170,289,0.8756278411716435
17,278,18,263,84,268,83,282,0.8892937263082923
38,244,38,231,61,232,60,245,0.5792851081603628
21,244,22,228,40,229,39,245,0.7596935815674427
85,220,117,217,120,237,87,241,0.9187563957293368
121,216,170,211,172,228,123,234,0.8958701776502446
9,208,25,207,26,218,10,218,0.8184483589237066
27,206,57,203,58,214,28,217,0.7804800844069323
9,206,9,194,23,194,23,206,0.781177710680688
22,194,45,191,47,202,24,205,0.8029264454687459
45,189,60,187,62,200,47,203,0.8367917737453291
62,189,90,185,92,197,63,201,0.8375944141350475
92,185,120,181,122,192,93,196,0.8152994126200359
9,178,73,171,74,185,10,192,0.9336771803784341
76,168,107,164,109,182,78,186,0.8798970215535586
110,165,170,158,172,174,112,181,0.9459778755784245
56,48,103,44,110,139,62,142,0.8734898562056226
35,36,37,3,136,8,135,41,0.9544200148465952
