20,253,20,245,42,245,42,253,0.4364896983858619
70,250,70,246,75,246,75,250,0.17509383033228737
41,254,41,243,66,244,66,255,0.6807147433521057
10,250,11,244,21,246,19,252,0.18678380161147765
32,238,32,227,73,230,72,240,0.8805235990600716
8,238,8,228,35,229,34,239,0.7714460112233904
51,220,51,212,103,213,103,221,0.7096919727406514
7,220,8,210,49,211,49,221,0.8137605489940388
50,209,51,198,68,199,68,209,0.8420847612127945
9,208,9,199,49,200,48,209,0.8490736837576763
68,198,100,198,100,208,69,209,0.868829536115801
5,192,6,175,56,178,55,194,0.9049084834917593
10,133,114,132,114,164,10,164,0.9826978318138221
44,122,45,107,115,108,115,123,0.9567204141338761
35,91,35,74,47,74,46,92,0.7837483079013429
