85,318,85,310,128,310,128,318,0.8002135196249142
51,319,51,300,84,300,84,319,0.8784811236011664
83,301,108,301,109,309,83,310,0.7437539508321473
112,301,148,298,148,307,112,309,0.813057780732009
81,271,81,255,104,255,104,271,0.8674397379299245
20,263,22,250,77,256,76,269,0.9322771647150114
21,240,23,226,95,237,93,251,0.8358945797632478
5,213,6,193,130,204,128,224,0.960404031533777
26,189,27,179,88,184,87,194,0.8518933339037911
134,158,161,154,163,166,136,170,0.79117809159556
135,149,160,145,161,154,136,158,0.8384994795702884
64,152,65,140,117,144,116,156,0.8983872290743666
8,145,9,133,62,139,61,151,0.9271988570015872
137,133,156,129,159,143,139,147,0.7259405865021762
